kr,en
"!중요: 이 변수는 캐논포 설치 NPC가 발록이 버브 상태일 때 AI로 부터 주기적으로 BossBuffOkCheck = 1  신호 받는데,
					         그러다 보니 캐논포가 발사후 파괴되면 발록의 버프가 사라졌는데도 캐논포 설치 NPC가  무조건 설치하러 가는 문제가 있어서
							 일단 캐논포가 파괴되면 이 캐논포AI에서 무조건 BossBuffOkCheck = 0 신호를 캐논포 설치 NPC에게 보낸 후, 만약 발록에 의해서 캐논포가 파괴된 경우면
                            어차피 발록 AI로 부터 	BossBuffOkCheck = 1  신호를 받기 때문에 이렇게 설정함                설치 NPC AI:  AI_GuardCrossbow_TypeA.xml","!Important: This variable is used because the cannonball installer NPC periodically gets a BossBuffOkCheck = 1 signal from the AI when Balrog is buffed,
					         so if the cannon is destroyed after firing, the cannon installer NPC will go ahead and install the cannon even though Balrog's buff is gone.
							 Once the cannon is destroyed, the cannon AI unconditionally sends a BossBuffOkCheck = 0 signal to the cannon installer NPC, and then if the cannon is destroyed by the Balrog
                            BossBuffOkCheck = 1 signal from the Balrog AI anyway, so I set it up like this Install NPC AI: AI_GuardCrossbow_TypeA.xml"
"1페이즈 등장했던 졸몹을 Remove 명령어로 제거하는데, 그러다 보니 트리거에서 사용하는 핵심 변수이 MonsterMany 가 꼬여서 영원이 0이 안되는 위험이 있음,
								 그래서 안정성 확보를 위해 2페이즈 최초로 넘어올때 핵심 변수 MonsterMany =0 초기화 셋팅함,
								 앞선 트리거 신호 FirstBattleEnd = 1 연달하 하면 꼬일 수 있어서 이거 실행후 잠깐 후 추가 실행 되는 것이 안정성 있어서 맨 나중에 하도록 하였음, 이 설정은 2페이즈에서의 스킬 브레이크 사용할 경우에만 의미있게 작동함, 3페이즈의 스킬브레이크인 경우는 해도 그만 안해도 그만임","When removing the zombies that appeared in Phase 1 with the Remove command, there was a risk that the key variable MonsterMany used in the trigger would be twisted and become zero forever,
								 So, to ensure stability, we set the key variable MonsterMany =0 to be initialized to zero at the beginning of Phase 2,
								 The previous trigger signal FirstBattleEnd = 1 can get twisted if executed consecutively, so it's more stable to execute it after a while, so it's best to do it last. This setting only makes sense if you're using a skill break in Phase 2, but if you're using a skill break in Phase 3, you can do it anyway."
"TwoPhaseMainBattle = 1 인 경우, 즉  졸구간 클리어 했거나 모든 파티원이 잡혀서 졸구간 건너뛰기 될 경우, TwoPhaseMainBattle 이 변수는  main.xml    2PhasePlayerCheck.xml   이 두 트리거에 의해서 1이 됨, 그리고 TwoPhaseMainBattle = 0 단계에서 보스 HP가 일정 이하가 될때도  <Rif hpLower=""??"">	단계에  TwoPhaseMainBattle = 1  실행함","If TwoPhaseMainBattle = 1, i.e., the encounter will be skipped because the encounter has been cleared or all party members have been captured, this variable will be set to 1 by both triggers in main.xml 2PhasePlayerCheck.xml and will also execute TwoPhaseMainBattle = 1 in the <Rif hpLower=""??""> phase when the boss HP drops below a certain amount in the TwoPhaseMainBattle = 0 phase."
"TwoPhaseMainBattle = 1 인 경우, 즉  졸구간 클리어 했거나 모든 파티원이 잡혀서 졸구간 건너띄기 될 경우, TwoPhaseMainBattle 이 변수는  main.xml    2PhasePlayerCheck.xml   이 두 트리거에 의해서 1이 됨, 그리고 TwoPhaseMainBattle = 0 단계에서 보스 HP가 일정 이하가 될때도  <Rif hpLower=""??"">	단계에  TwoPhaseMainBattle = 1  실행함","If TwoPhaseMainBattle = 1, i.e. the encounter will be skipped because the encounter has been cleared or all party members have been captured, the TwoPhaseMainBattle variable will be set to 1 by both triggers in main.xml 2PhasePlayerCheck.xml and will also execute TwoPhaseMainBattle = 1 in the <Rif hpLower=""??""> phase when the boss HP drops below a certain amount in the TwoPhaseMainBattle = 0 phase."
"동료 몬스터가 얼만큼 남았는지 체크하여 얼마 안남았으면 버프 부여 행동 안하고 일반 공격 행동 하도록 함, 원래는
					이 변수 0으로 셋팅하고  돌요 몬스터가 등장해 전투 상태가 되면 +1 하고 죽으면 -1 하는 방식으로 설정해야 하는데,
					동료 몬스터가 등장해 신호 보내도 크림슨발록은 약간 늦게 등장해서 이 신호를 제때 못받기 때문에 이런 식으로 함, 어차피 수치 오차가 나와도 별 문제 없기 때문에 이런 방식으로 함","Checks how much time is left on a companion monster and if it's close, it doesn't grant buffs and instead performs a normal attack, originally set to
					variable to 0 and set it to +1 when the monster appears and enters combat, and -1 when it dies,
					This is done this way because Crimson Balrog doesn't receive this signal in time when its fellow monsters appear and signal it, and it doesn't matter if the numbers are wrong anyway."
"ModifyExtra +1 로 하는 경우는 인페르녹AI에서 이 변수 최초에 0으로 시작되고 인페르녹 HP 90% 될 경우와 트리스탄의 졸구간 끝날때의 경우 이렇게 두번 신호를 보내기 때문에 ModifyExtra 방식으로 이 변수가 1이 되면 보스 전투로 전환되는 방식을 사용함, 
					     보스 전투로 전환될때  BossBattleOk=-99 로 강제 셋팅 되기 때문에 ModifyExtra +1  로 해도 괜찮음","The ModifyExtra +1 case uses the ModifyExtra method of switching to boss battles when this variable is 1 because InfernoAI starts with 0 and signals this variable twice: when Inferno reaches 90% HP and at the end of Tristan's minion section,
					     BossBattleOk=-99 is forced to be set when switching to boss battle, so ModifyExtra +1 is fine."
"!!중요: 신호 보내는 거리는 적당히 900 정도 함, 분신 투르카가 대기 상태일 때는 이 가짜 몬스터하고 같은 지점에 있기 때문에 신호 보내는 영역이 넓지 않아도 충분히 신호 보낼 수 있고, 그리고 분신 투르카가 이미 2페이즈 메인 전투판에 있는  상태에서 이 신호 보낼 수 있는데, 이때는 분신 투르카가 신호를 받아서는 안되기 때문에 신호 보내는 영역을 너무 넓게 하지 않아 이 때는 자연스럽게 시호 받지 안도록 함","!!IMPORTANT: The distance of the signal is moderate, around 900, because when Turka is on standby, it's in the same spot as this fake monster, so it doesn't need a large enough area to send the signal, and you can send this signal while Turka is already on the main battlefield in Phase 2, which is when you don't want Turka to receive the signal, so don't make the signal area too large, so it won't naturally receive the signal."
"ModifyExtra +1 로 하는 경우는 이 변수 최초에 0으로 시작되고 인페르녹 HP 90% 될 경우와 트리스탄의 졸구간 끝날때의 경우 이렇게 두번 신호를 보내기 때문에 ModifyExtra 방식으로 이 변수가 1이 되면 보스 전투로 전환되는 방식을 사용함, 
					     보스 전투로 전환될때  BossBattleOk=-99 로 강제 셋팅 되기 때문에 ModifyExtra +1  로 해도 괜찮음","The ModifyExtra +1 case uses the ModifyExtra method of switching to boss battles when this variable is 1 because it starts at 0 and is signaled twice: when Infernok reaches 90% HP and at the end of Tristan's minion section,
					     BossBattleOk=-99 is forced to be set when switching to boss battle, so ModifyExtra +1 is fine."
"바닥 레이저 혹은 회전 레이저 합동 공격 둘중 하나 발동,  중요: initialCooltime 설정 꼭 필요 왜냐하면 분신 소환몹 등장하여 전투 상태로 전환 전에 이 부분 실행되면 로직이 꼬여 대박 버그 생길 수 있어서, 안전 장치로 꼭 initialCooltime 설정 해야 함, 보스가 HP극감 되엇 바로 2페이즈 부터 시작할 수 있으니 무조건 initialCooltime 설정하는 것이 좋음","Triggers either a floor laser or spinning laser joint attack, important: initial cooldown is required because if this part is executed before the minion appears and enters combat, the logic can get messed up and cause a huge bug, so it's important to set initial cooldown as a failsafe, and it's recommended to always set initial cooldown because the boss can start phase 2 as soon as he's HP-drained."
"분신에게 신호 보내서 분신하고 함께 순간이동 하는 부분,  중요: initialCooltime 설정 꼭 필요 왜냐하면 분신 소환몹 등장하여 전투 상태로 전환 전에 이 부분 실행되면 로직이 꼬여 대박 버그 생길 수 있어서, 안전 장치로 꼭 initialCooltime 설정 해야 함, 보스가 HP극감 되어 바로 2페이즈 부터 시작할 수 있으니 무조건 initialCooltime 설정하는 것이 좋음","This is the part where you send a signal to your alter ego to teleport with you, Important: You must set the initial cooldown time because if this part is executed before the alter ego summon mob appears and switches to combat status, the logic can get messed up and cause a huge bug, so you must set the initial cooldown time as a failsafe, and it is recommended that you set the initial cooldown time because the boss will be HP-drained and you can start Phase 2 immediately."
